Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-04-25 00:00:00,5.6,-1.3,-2.3,,229.2,,,0.0,0.0
2025-04-25 00:01:00,4.8,-1.2,-2.3,,229.3,,,0.0,0.0
2025-04-25 00:02:00,5.0,-1.4,-2.5,,229.0,,,0.0,0.0
2025-04-25 00:03:00,5.4,-1.5,-2.5,,229.0,,,0.0,0.0
2025-04-25 00:04:00,5.8,-1.4,-2.7,,228.7,,,0.0,0.0
2025-04-25 00:05:00,4.3,-1.6,-2.8,,228.5,,,0.0,0.0
2025-04-25 00:06:00,4.8,-1.2,-2.3,,228.8,,,0.0,0.0
2025-04-25 00:07:00,5.9,-1.2,-1.9,,228.9,,,0.0,0.0
2025-04-25 00:08:00,4.9,-1.3,-2.1,,228.8,,,0.0,0.0
2025-04-25 00:09:00,4.3,-1.3,-2.0,,228.7,,,0.0,0.0
2025-04-25 00:10:00,4.9,-1.2,-2.0,,228.7,,,0.0,0.0
2025-04-25 00:11:00,5.7,-1.1,-1.8,,228.8,,,0.0,0.0
2025-04-25 00:12:00,5.3,-1.3,-2.0,,228.7,,,0.0,0.0
2025-04-25 00:13:00,4.9,-1.2,-2.1,,228.7,,,0.0,0.0
2025-04-25 00:14:00,5.3,-1.2,-1.8,,228.6,,,0.0,0.0
2025-04-25 00:15:00,6.0,-1.2,-1.9,,228.8,,,0.0,0.1
2025-04-25 00:16:00,5.9,-0.9,-1.8,,228.8,,,0.0,0.0
2025-04-25 00:17:00,4.8,-0.9,-2.1,,228.7,,,0.0,0.0
2025-04-25 00:18:00,4.9,-0.8,-2.1,,228.7,,,0.0,0.0
2025-04-25 00:19:00,5.2,-0.7,-2.2,,228.7,,,0.0,0.0
2025-04-25 00:20:00,5.3,-0.7,-2.1,,228.7,,,0.0,0.0
2025-04-25 00:21:00,3.9,-0.8,-2.3,,228.5,,,0.0,0.0
2025-04-25 00:22:00,5.6,-0.7,-2.2,,228.4,,,0.0,0.0
2025-04-25 00:23:00,5.9,-0.9,-2.4,,228.5,,,0.0,0.0
2025-04-25 00:24:00,5.7,-0.9,-2.6,,228.3,,,0.0,0.0
2025-04-25 00:25:00,3.9,-0.9,-2.4,,228.2,,,0.0,0.0
2025-04-25 00:26:00,4.6,-0.8,-2.5,,228.0,,,0.0,0.0
2025-04-25 00:27:00,5.3,-0.8,-2.3,,227.9,,,0.0,0.0
2025-04-25 00:28:00,5.1,-1.0,-2.6,,227.7,,,0.0,0.0
2025-04-25 00:29:00,4.3,-1.0,-2.4,,227.7,,,0.0,0.0
2025-04-25 00:30:00,4.6,-1.3,-2.7,,227.6,,,0.0,0.0
2025-04-25 00:31:00,6.0,-1.4,-2.7,,227.6,,,0.0,0.1
2025-04-25 00:32:00,6.1,-1.6,-2.8,,227.4,,,0.0,0.0
2025-04-25 00:33:00,4.7,-1.4,-2.9,,227.4,,,0.0,0.0
2025-04-25 00:34:00,5.1,-1.5,-3.0,,227.3,,,0.0,0.0
2025-04-25 00:35:00,6.3,-1.3,-2.7,,227.6,,,0.0,0.0
2025-04-25 00:36:00,6.1,-1.1,-2.4,,227.5,,,0.0,0.0
2025-04-25 00:37:00,4.3,-1.0,-2.2,,227.6,,,0.0,0.0
2025-04-25 00:38:00,4.1,-1.1,-2.3,,227.4,,,0.0,0.0
2025-04-25 00:39:00,6.4,-1.2,-2.3,,227.4,,,0.0,0.1
2025-04-25 00:40:00,4.8,-1.3,-2.5,,227.3,,,0.0,0.0
2025-04-25 00:41:00,4.8,-1.1,-2.3,,227.4,,,0.0,0.0
2025-04-25 00:42:00,4.4,-1.0,-2.3,,227.6,,,0.0,0.0
2025-04-25 00:43:00,6.4,-1.0,-2.2,,227.6,,,0.0,0.1
2025-04-25 00:44:00,6.0,-0.9,-2.1,,227.6,,,0.0,0.0
2025-04-25 00:45:00,4.1,-0.9,-2.3,,227.5,,,0.0,0.0
2025-04-25 00:46:00,4.7,-0.8,-2.0,,227.7,,,0.0,0.0
2025-04-25 00:47:00,5.6,-0.8,-2.0,,227.7,,,0.0,0.0
2025-04-25 00:48:00,5.8,-0.8,-1.8,,227.6,,,0.0,0.0
2025-04-25 00:49:00,3.9,-0.8,-2.1,,227.7,,,0.0,0.0
2025-04-25 00:50:00,4.7,-0.8,-2.0,,227.7,,,0.0,0.0
2025-04-25 00:51:00,5.5,-0.6,-1.8,,227.9,,,0.0,0.1
2025-04-25 00:52:00,5.7,-0.5,-1.8,,227.9,,,0.0,0.0
2025-04-25 00:53:00,5.0,-0.5,-1.8,,227.9,,,0.0,0.0
2025-04-25 00:54:00,4.6,-0.5,-1.9,,227.8,,,0.0,0.0
2025-04-25 00:55:00,5.2,-0.6,-2.2,,227.7,,,0.0,0.0
2025-04-25 00:56:00,5.6,-0.5,-2.1,,227.7,,,0.0,0.0
2025-04-25 00:57:00,3.9,-0.5,-2.2,,227.7,,,0.0,0.0
2025-04-25 00:58:00,4.8,-0.4,-2.1,,227.8,,,0.0,0.0
2025-04-25 00:59:00,5.3,-0.3,-2.2,,227.7,,,0.0,0.0
2025-04-25 01:00:00,5.3,-0.3,-2.1,,227.8,,,0.0,0.0
2025-04-25 01:01:00,4.1,-0.4,-2.3,,227.7,,,0.0,0.0
2025-04-25 01:02:00,4.3,-0.4,-2.4,,227.6,,,0.0,0.0
2025-04-25 01:03:00,5.0,-0.5,-2.6,,227.5,,,0.0,0.0
2025-04-25 01:04:00,5.4,-0.5,-2.5,,227.5,,,0.0,0.0
2025-04-25 01:05:00,5.3,-0.4,-2.3,,227.7,,,0.0,0.0
2025-04-25 01:06:00,4.2,-0.4,-2.3,,227.5,,,0.0,0.0
2025-04-25 01:07:00,5.7,-0.2,-2.2,,227.5,,,0.0,0.0
2025-04-25 01:08:00,5.7,-0.1,-2.1,,227.5,,,0.0,0.1
