Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-08-12 00:00:00,0.0,-1.2,-2.5,,310.3,,,0.0,0.0
2025-08-12 00:01:00,0.0,-1.0,-2.2,,309.7,,,0.0,0.0
2025-08-12 00:02:00,0.0,-1.2,-2.5,,308.9,,,0.0,0.0
2025-08-12 00:03:00,0.0,-1.3,-2.8,,308.3,,,0.0,0.0
2025-08-12 00:04:00,0.0,-1.4,-2.8,,307.8,,,0.0,0.0
2025-08-12 00:05:00,0.1,-1.4,-2.8,,307.4,,,0.0,0.0
2025-08-12 00:06:00,0.0,-1.3,-2.9,,307.0,,,0.0,0.0
2025-08-12 00:07:00,0.0,-1.2,-2.8,,306.6,,,0.0,0.0
2025-08-12 00:08:00,0.0,-1.1,-2.7,,306.3,,,0.0,0.0
2025-08-12 00:09:00,0.0,-1.2,-2.6,,306.0,,,0.0,0.0
2025-08-12 00:10:00,0.0,-1.0,-2.5,,305.7,,,0.0,0.0
2025-08-12 00:11:00,0.0,-1.1,-2.5,,305.4,,,0.0,0.0
2025-08-12 00:12:00,0.0,-1.1,-2.4,,305.1,,,0.0,0.0
2025-08-12 00:13:00,0.0,-0.8,-2.2,,305.0,,,0.0,0.0
2025-08-12 00:14:00,0.0,-0.9,-2.2,,304.9,,,0.0,0.0
2025-08-12 00:15:00,0.0,-1.0,-2.4,,304.6,,,0.0,0.0
2025-08-12 00:16:00,0.0,-0.9,-2.3,,304.7,,,0.0,0.0
2025-08-12 00:17:00,0.0,-0.9,-2.3,,304.8,,,0.0,0.0
2025-08-12 00:18:00,0.0,-0.9,-2.2,,304.9,,,0.0,0.0
2025-08-12 00:19:00,0.0,-0.9,-2.4,,305.1,,,0.0,0.0
2025-08-12 00:20:00,0.0,-0.9,-2.3,,305.5,,,0.0,0.0
2025-08-12 00:21:00,0.0,-0.9,-2.1,,306.0,,,0.0,0.0
2025-08-12 00:22:00,0.0,-0.9,-1.9,,306.5,,,0.0,0.0
2025-08-12 00:23:00,0.0,-1.2,-2.4,,306.6,,,0.0,0.0
2025-08-12 00:24:00,0.0,-1.3,-2.6,,306.8,,,0.0,0.0
2025-08-12 00:25:00,0.0,-1.3,-2.6,,307.1,,,0.0,0.0
2025-08-12 00:26:00,0.0,-1.4,-2.7,,307.5,,,0.0,0.0
2025-08-12 00:27:00,0.0,-1.3,-2.3,,308.0,,,0.0,0.0
2025-08-12 00:28:00,0.1,-1.3,-2.2,,308.7,,,0.0,0.0
2025-08-12 00:29:00,0.0,-1.3,-2.3,,309.5,,,0.0,0.0
2025-08-12 00:30:00,0.0,-1.2,-2.2,,310.1,,,0.0,0.0
2025-08-12 00:31:00,0.0,-1.2,-2.3,,310.8,,,0.0,0.0
2025-08-12 00:32:00,0.0,-1.1,-2.2,,311.7,,,0.0,0.0
2025-08-12 00:33:00,0.0,-0.8,-1.9,,312.6,,,0.0,0.0
2025-08-12 00:34:00,0.0,-0.7,-1.8,,313.1,,,0.0,0.0
2025-08-12 00:35:00,0.0,-0.9,-2.0,,313.5,,,0.0,0.0
2025-08-12 00:36:00,0.0,-0.9,-2.0,,313.8,,,0.0,0.0
2025-08-12 00:37:00,0.0,-0.7,-1.6,,314.3,,,0.0,0.0
2025-08-12 00:38:00,0.0,-0.8,-1.9,,314.5,,,0.0,0.0
2025-08-12 00:39:00,0.0,-0.7,-1.8,,314.8,,,0.0,0.0
2025-08-12 00:40:00,0.0,-0.6,-1.6,,315.3,,,0.0,0.0
2025-08-12 00:41:00,0.0,-0.3,-1.4,,315.4,,,0.0,0.0
2025-08-12 00:42:00,0.0,-0.6,-1.6,,315.3,,,0.0,0.0
2025-08-12 00:43:00,0.0,-0.7,-1.9,,315.1,,,0.0,0.0
2025-08-12 00:44:00,0.0,-0.7,-1.7,,315.0,,,0.0,0.0
2025-08-12 00:45:00,0.0,-0.8,-1.8,,314.8,,,0.0,0.0
2025-08-12 00:46:00,0.0,-0.8,-1.9,,314.8,,,0.0,0.0
2025-08-12 00:47:00,0.0,-0.5,-1.8,,314.8,,,0.0,0.0
2025-08-12 00:48:00,0.0,-0.5,-2.0,,314.8,,,0.0,0.0
2025-08-12 00:49:00,0.0,-0.7,-1.8,,314.7,,,0.0,0.0
2025-08-12 00:50:00,0.0,-0.7,-1.8,,315.0,,,0.0,0.0
2025-08-12 00:51:00,0.0,-0.7,-1.6,,314.8,,,0.0,0.0
2025-08-12 00:52:00,0.0,-1.1,-2.0,,314.6,,,0.0,0.0
2025-08-12 00:53:00,0.0,-1.4,-2.4,,314.4,,,0.0,0.0
2025-08-12 00:54:00,0.0,-1.4,-2.4,,314.4,,,0.0,0.0
2025-08-12 00:55:00,0.0,-1.4,-2.4,,314.5,,,0.0,0.0
2025-08-12 00:56:00,0.0,-1.4,-2.5,,314.3,,,0.0,0.0
2025-08-12 00:57:00,0.0,-1.4,-2.5,,314.3,,,0.0,0.0
2025-08-12 00:58:00,0.0,-1.5,-2.4,,314.5,,,0.0,0.0
2025-08-12 00:59:00,0.0,-1.4,-2.6,,314.6,,,0.0,0.0
2025-08-12 01:00:00,0.0,-1.4,-2.8,,314.8,,,0.0,0.0
2025-08-12 01:01:00,0.0,-1.3,-2.7,,315.0,,,0.0,0.0
2025-08-12 01:02:00,0.0,-1.4,-2.7,,315.4,,,0.0,0.0
2025-08-12 01:03:00,0.0,-1.4,-2.7,,315.7,,,0.0,0.0
2025-08-12 01:04:00,0.0,-1.5,-2.6,,316.0,,,0.0,0.0
2025-08-12 01:05:00,0.0,-1.5,-2.6,,316.0,,,0.0,0.0
2025-08-12 01:06:00,0.0,-1.5,-2.8,,316.4,,,0.0,0.0
2025-08-12 01:07:00,0.0,-1.4,-2.5,,316.8,,,0.0,0.0
2025-08-12 01:08:00,0.1,-1.0,-1.6,,317.6,,,0.0,0.0
2025-08-12 01:09:00,0.0,-0.9,-1.5,,318.3,,,0.0,0.0
2025-08-12 01:10:00,0.0,-0.9,-1.7,,318.4,,,0.0,0.0
2025-08-12 01:11:00,0.0,-1.0,-1.9,,318.9,,,0.0,0.0
2025-08-12 01:12:00,0.0,-0.8,-1.8,,319.2,,,0.0,0.0
2025-08-12 01:13:00,0.0,-0.8,-1.7,,319.4,,,0.0,0.0
2025-08-12 01:14:00,0.0,-0.9,-1.9,,319.6,,,0.0,0.0
2025-08-12 01:15:00,0.0,-0.8,-1.8,,319.7,,,0.0,0.0
2025-08-12 01:16:00,0.0,-0.6,-1.6,,319.8,,,0.0,0.0
2025-08-12 01:17:00,0.0,-0.5,-1.4,,319.7,,,0.0,0.0
2025-08-12 01:18:00,0.0,-0.7,-1.7,,319.6,,,0.0,0.0
2025-08-12 01:19:00,0.0,-0.7,-1.5,,319.5,,,0.0,0.0
2025-08-12 01:20:00,0.0,-0.5,-1.3,,319.5,,,0.0,0.0
2025-08-12 01:21:00,0.0,-0.6,-1.2,,319.5,,,0.0,0.0
2025-08-12 01:22:00,0.0,-0.8,-1.7,,319.3,,,0.0,0.0
2025-08-12 01:23:00,0.0,-0.9,-2.1,,319.3,,,0.0,0.0
2025-08-12 01:24:00,0.0,-0.8,-2.1,,319.3,,,0.0,0.0
2025-08-12 01:25:00,0.0,-0.8,-2.0,,319.5,,,0.0,0.0
2025-08-12 01:26:00,0.0,-1.0,-2.3,,319.5,,,0.0,0.0
2025-08-12 01:27:00,0.0,-0.8,-2.0,,319.8,,,0.0,0.0
2025-08-12 01:28:00,0.0,-0.9,-2.1,,320.0,,,0.0,0.0
2025-08-12 01:29:00,0.0,-1.0,-2.3,,320.3,,,0.0,0.0
2025-08-12 01:30:00,0.0,-1.1,-2.4,,320.6,,,0.0,0.0
2025-08-12 01:31:00,0.0,-1.1,-2.3,,321.1,,,0.0,0.0
2025-08-12 01:32:00,0.0,-1.0,-2.0,,321.8,,,0.0,0.0
2025-08-12 01:33:00,0.0,-1.0,-2.1,,322.2,,,0.0,0.0
2025-08-12 01:34:00,0.0,-1.0,-2.3,,322.7,,,0.0,0.0
2025-08-12 01:35:00,0.0,-1.2,-2.4,,323.0,,,0.0,0.0
2025-08-12 01:36:00,0.0,-1.2,-2.4,,323.5,,,0.0,0.0
2025-08-12 01:37:00,0.0,-1.1,-2.2,,323.8,,,0.0,0.0
2025-08-12 01:38:00,0.0,-0.8,-1.6,,324.4,,,0.0,0.0
2025-08-12 01:39:00,0.0,-0.7,-1.5,,324.6,,,0.0,0.0
2025-08-12 01:40:00,0.0,-0.6,-1.7,,324.4,,,0.0,0.0
2025-08-12 01:41:00,0.0,-0.5,-1.7,,324.2,,,0.0,0.0
2025-08-12 01:42:00,0.0,-0.5,-1.7,,323.7,,,0.0,0.0
2025-08-12 01:43:00,0.0,-0.6,-1.9,,323.3,,,0.0,0.0
2025-08-12 01:44:00,0.0,-0.6,-2.0,,322.6,,,0.0,0.0
2025-08-12 01:45:00,0.0,-0.6,-1.8,,322.0,,,0.0,0.0
2025-08-12 01:46:00,0.0,-0.7,-1.7,,321.7,,,0.0,0.0
2025-08-12 01:47:00,0.0,-0.9,-1.9,,321.2,,,0.0,0.0
2025-08-12 01:48:00,0.0,-0.8,-1.9,,320.9,,,0.0,0.0
2025-08-12 01:49:00,0.1,-0.8,-1.7,,320.7,,,0.0,0.0
2025-08-12 01:50:00,0.0,-0.8,-1.6,,320.6,,,0.0,0.0
2025-08-12 01:51:00,0.0,-0.8,-1.7,,320.9,,,0.0,0.0
2025-08-12 01:52:00,0.0,-0.7,-1.5,,321.3,,,0.0,0.0
2025-08-12 01:53:00,0.0,-0.8,-1.9,,321.5,,,0.0,0.0
2025-08-12 01:54:00,0.0,-0.7,-1.7,,322.1,,,0.0,0.0
2025-08-12 01:55:00,0.0,-0.6,-1.6,,322.9,,,0.0,0.0
2025-08-12 01:56:00,0.0,-0.8,-1.7,,323.5,,,0.0,0.0
2025-08-12 01:57:00,0.0,-0.8,-1.5,,324.6,,,0.0,0.0
2025-08-12 01:58:00,0.0,-0.6,-1.4,,325.3,,,0.0,0.0
2025-08-12 01:59:00,0.0,-0.7,-1.5,,325.9,,,0.0,0.0
2025-08-12 02:00:00,0.0,-0.9,-1.8,,326.4,,,0.0,0.0
2025-08-12 02:01:00,0.0,-0.9,-1.9,,326.8,,,0.0,0.0
2025-08-12 02:02:00,0.0,-0.8,-1.6,,327.5,,,0.0,0.0
2025-08-12 02:03:00,0.0,-0.7,-1.8,,328.1,,,0.0,0.0
2025-08-12 02:04:00,0.0,-0.6,-1.7,,328.6,,,0.0,0.0
2025-08-12 02:05:00,0.0,-0.6,-1.6,,328.9,,,0.0,0.0
2025-08-12 02:06:00,0.0,-0.6,-1.7,,329.5,,,0.0,0.0
2025-08-12 02:07:00,0.0,-0.6,-1.7,,330.1,,,0.0,0.0
2025-08-12 02:08:00,0.0,-0.5,-1.4,,330.9,,,0.0,0.0
2025-08-12 02:09:00,0.0,-0.5,-1.5,,331.3,,,0.0,0.0
2025-08-12 02:10:00,0.0,-0.6,-1.4,,331.6,,,0.0,0.0
2025-08-12 02:11:00,0.0,-0.6,-1.5,,332.0,,,0.0,0.0
2025-08-12 02:12:00,0.0,-0.8,-1.7,,332.0,,,0.0,0.0
2025-08-12 02:13:00,0.0,-0.7,-1.6,,332.0,,,0.0,0.0
2025-08-12 02:14:00,0.0,-0.7,-1.6,,332.0,,,0.0,0.0
2025-08-12 02:15:00,0.0,-0.6,-1.8,,331.7,,,0.0,0.0
2025-08-12 02:16:00,0.0,-0.7,-2.0,,331.4,,,0.0,0.0
2025-08-12 02:17:00,0.0,-0.6,-1.8,,331.1,,,0.0,0.0
2025-08-12 02:18:00,0.0,-0.7,-2.1,,330.6,,,0.0,0.0
2025-08-12 02:19:00,0.0,-0.6,-1.9,,330.3,,,0.0,0.0
2025-08-12 02:20:00,0.0,-0.5,-1.8,,329.8,,,0.0,0.0
2025-08-12 02:21:00,0.0,-0.2,-1.7,,329.5,,,0.0,0.0
2025-08-12 02:22:00,0.0,-0.4,-1.8,,329.1,,,0.0,0.0
2025-08-12 02:23:00,0.0,-0.1,-1.5,,328.9,,,0.0,0.0
2025-08-12 02:24:00,0.0,-0.2,-1.6,,328.4,,,0.0,0.0
2025-08-12 02:25:00,0.0,-0.1,-1.3,,328.2,,,0.0,0.0
2025-08-12 02:26:00,0.0,-0.2,-1.5,,327.8,,,0.0,0.0
2025-08-12 02:27:00,0.0,-0.2,-1.4,,327.7,,,0.0,0.0
2025-08-12 02:28:00,0.0,-0.3,-1.5,,327.4,,,0.0,0.0
2025-08-12 02:29:00,0.0,-0.2,-1.3,,327.3,,,0.0,0.0
2025-08-12 02:30:00,0.0,-0.3,-1.6,,327.1,,,0.0,0.0
2025-08-12 02:31:00,0.0,-0.2,-1.5,,327.1,,,0.0,0.0
2025-08-12 02:32:00,0.0,-0.3,-1.6,,326.9,,,0.0,0.0
2025-08-12 02:33:00,0.0,-0.3,-1.7,,326.9,,,0.0,0.0
2025-08-12 02:34:00,0.0,-0.3,-1.7,,326.9,,,0.0,0.0
2025-08-12 02:35:00,0.0,-0.3,-1.7,,327.1,,,0.0,0.0
2025-08-12 02:36:00,0.0,-0.4,-1.7,,327.4,,,0.0,0.0
2025-08-12 02:37:00,0.0,-0.5,-1.7,,327.6,,,0.0,0.0
2025-08-12 02:38:00,0.0,-0.6,-2.0,,327.8,,,0.0,0.0
2025-08-12 02:39:00,0.0,-0.5,-1.8,,328.3,,,0.0,0.0
2025-08-12 02:40:00,0.0,-0.6,-1.8,,328.7,,,0.0,0.0
2025-08-12 02:41:00,0.0,-0.5,-1.8,,329.0,,,0.0,0.0
2025-08-12 02:42:00,0.0,-0.5,-1.9,,329.3,,,0.0,0.0
2025-08-12 02:43:00,0.0,-0.5,-1.8,,329.6,,,0.0,0.0
2025-08-12 02:44:00,0.0,-0.6,-1.9,,329.8,,,0.0,0.0
2025-08-12 02:45:00,0.0,-0.5,-2.1,,329.8,,,0.0,0.0
2025-08-12 02:46:00,0.0,-0.6,-1.8,,329.9,,,0.0,0.0
2025-08-12 02:47:00,0.0,-0.6,-1.8,,330.1,,,0.0,0.0
2025-08-12 02:48:00,0.0,-0.5,-1.5,,330.3,,,0.0,0.0
2025-08-12 02:49:00,0.0,-0.5,-1.7,,330.3,,,0.0,0.0
2025-08-12 02:50:00,0.0,-0.6,-1.9,,330.3,,,0.0,0.0
2025-08-12 02:51:00,0.0,-0.5,-1.8,,330.2,,,0.0,0.0
2025-08-12 02:52:00,0.0,-0.5,-1.5,,330.4,,,0.0,0.0
2025-08-12 02:53:00,0.0,-0.4,-1.5,,330.3,,,0.0,0.0
2025-08-12 02:54:00,0.0,-0.5,-1.7,,330.0,,,0.0,0.0
2025-08-12 02:55:00,0.0,-0.6,-1.6,,329.9,,,0.0,0.0
2025-08-12 02:56:00,0.0,-0.6,-1.9,,329.5,,,0.0,0.0
2025-08-12 02:57:00,0.0,-0.8,-2.0,,329.3,,,0.0,0.0
2025-08-12 02:58:00,0.0,-0.7,-1.8,,329.0,,,0.0,0.0
2025-08-12 02:59:00,0.0,-0.6,-1.9,,328.7,,,0.0,0.0
2025-08-12 03:00:00,0.0,-0.6,-1.7,,328.3,,,0.0,0.0
2025-08-12 03:01:00,0.0,-0.6,-1.9,,328.1,,,0.0,0.0
2025-08-12 03:02:00,0.0,-0.6,-2.0,,327.6,,,0.0,0.0
2025-08-12 03:03:00,0.0,-0.6,-1.8,,327.3,,,0.0,0.0
2025-08-12 03:04:00,0.0,-0.6,-1.8,,327.2,,,0.0,0.0
2025-08-12 03:05:00,0.0,-0.6,-1.8,,327.0,,,0.0,0.0
2025-08-12 03:06:00,0.0,-0.5,-1.6,,326.8,,,0.0,0.0
2025-08-12 03:07:00,0.0,-0.8,-1.8,,326.6,,,0.0,0.0
2025-08-12 03:08:00,0.0,-0.8,-1.9,,326.6,,,0.0,0.0
2025-08-12 03:09:00,0.0,-0.6,-1.8,,326.7,,,0.0,0.0
2025-08-12 03:10:00,0.0,-0.5,-1.6,,326.8,,,0.0,0.0
2025-08-12 03:11:00,0.0,-0.7,-1.7,,327.0,,,0.0,0.0
2025-08-12 03:12:00,0.0,-0.8,-1.7,,327.7,,,0.0,0.0
2025-08-12 03:13:00,0.0,-0.8,-1.8,,328.2,,,0.0,0.0
2025-08-12 03:14:00,0.0,-0.8,-1.8,,328.6,,,0.0,0.0
2025-08-12 03:15:00,0.0,-0.9,-1.8,,329.3,,,0.0,0.0
2025-08-12 03:16:00,0.0,-0.7,-1.8,,330.0,,,0.0,0.0
2025-08-12 03:17:00,0.0,-0.7,-1.8,,330.6,,,0.0,0.0
2025-08-12 03:18:00,0.0,-0.5,-1.5,,331.1,,,0.0,0.0
2025-08-12 03:19:00,0.0,-0.7,-1.6,,331.4,,,0.0,0.0
2025-08-12 03:20:00,0.0,-0.7,-1.7,,331.5,,,0.0,0.0
2025-08-12 03:21:00,0.0,-0.9,-1.9,,331.8,,,0.0,0.0
2025-08-12 03:22:00,0.0,-0.6,-1.6,,331.9,,,0.0,0.0
2025-08-12 03:23:00,0.0,-0.7,-2.0,,331.8,,,0.0,0.0
2025-08-12 03:24:00,0.0,-0.6,-1.5,,331.7,,,0.0,0.0
2025-08-12 03:25:00,0.0,-0.6,-1.6,,331.4,,,0.0,0.0
2025-08-12 03:26:00,0.0,-0.8,-1.8,,331.0,,,0.0,0.0
2025-08-12 03:27:00,0.0,-0.6,-1.5,,330.8,,,0.0,0.0
2025-08-12 03:28:00,0.0,-0.5,-1.5,,330.1,,,0.0,0.0
2025-08-12 03:29:00,0.0,-0.8,-1.8,,329.4,,,0.0,0.0
2025-08-12 03:30:00,0.0,-0.8,-1.7,,328.9,,,0.0,0.0
2025-08-12 03:31:00,0.0,-0.8,-1.7,,328.1,,,0.0,0.0
2025-08-12 03:32:00,0.0,-0.8,-1.8,,327.2,,,0.0,0.0
2025-08-12 03:33:00,0.0,-0.7,-1.8,,326.4,,,0.0,0.0
2025-08-12 03:34:00,0.0,-0.7,-1.7,,325.4,,,0.0,0.0
2025-08-12 03:35:00,0.0,-0.6,-1.7,,324.4,,,0.0,0.0
2025-08-12 03:36:00,0.0,-0.7,-1.8,,323.5,,,0.0,0.0
2025-08-12 03:37:00,0.0,-0.5,-1.6,,322.6,,,0.0,0.0
2025-08-12 03:38:00,0.0,-0.5,-1.5,,321.5,,,0.0,0.0
2025-08-12 03:39:00,0.0,-0.7,-1.7,,320.4,,,0.0,0.0
2025-08-12 03:40:00,0.0,-0.5,-1.7,,319.5,,,0.0,0.0
2025-08-12 03:41:00,0.0,-0.6,-1.8,,318.6,,,0.0,0.0
2025-08-12 03:42:00,0.0,-0.5,-1.8,,317.7,,,0.0,0.0
2025-08-12 03:43:00,0.0,-0.7,-2.1,,316.8,,,0.0,0.0
2025-08-12 03:44:00,0.0,-0.6,-1.9,,316.1,,,0.0,0.0
2025-08-12 03:45:00,0.0,-0.8,-2.1,,315.3,,,0.0,0.0
2025-08-12 03:46:00,0.0,-0.8,-2.1,,314.8,,,0.0,0.0
2025-08-12 03:47:00,0.0,-0.8,-2.1,,314.5,,,0.0,0.0
2025-08-12 03:48:00,0.0,-0.8,-2.1,,314.2,,,0.0,0.0
2025-08-12 03:49:00,0.0,-0.9,-2.3,,313.8,,,0.0,0.0
2025-08-12 03:50:00,0.0,-0.9,-2.2,,313.7,,,0.0,0.0
2025-08-12 03:51:00,0.0,-0.8,-2.3,,313.7,,,0.0,0.0
2025-08-12 03:52:00,0.0,-0.7,-2.2,,313.9,,,0.0,0.0
2025-08-12 03:53:00,0.0,-0.6,-2.1,,314.2,,,0.0,0.0
2025-08-12 03:54:00,0.0,-0.5,-2.1,,314.9,,,0.0,0.0
2025-08-12 03:55:00,0.0,-0.5,-2.0,,315.8,,,0.0,0.0
2025-08-12 03:56:00,0.0,-0.5,-2.0,,316.8,,,0.0,0.0
2025-08-12 03:57:00,0.0,-0.5,-2.1,,318.1,,,0.0,0.0
2025-08-12 03:58:00,0.0,-0.4,-1.9,,319.5,,,0.0,0.0
2025-08-12 03:59:00,0.0,-0.5,-2.0,,320.9,,,0.0,0.0
2025-08-12 04:00:00,0.0,-0.4,-2.0,,322.3,,,0.0,0.0
2025-08-12 04:01:00,0.0,-0.3,-1.7,,323.6,,,0.0,0.0
2025-08-12 04:02:00,0.0,-0.5,-2.1,,324.7,,,0.0,0.0
2025-08-12 04:03:00,0.0,-0.3,-1.9,,325.4,,,0.0,0.0
