Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-08-12 00:00:00,14.4,3.0,10.3,284.0,3.5,77.0,0.0
2025-08-12 00:10:00,14.5,1.0,10.3,286.0,3.5,76.0,
2025-08-12 00:20:00,14.4,1.0,10.3,288.0,3.3,76.0,
2025-08-12 00:30:00,14.3,1.0,10.3,291.0,3.3,77.0,
2025-08-12 00:40:00,14.2,3.0,10.4,289.0,3.6,78.0,
2025-08-12 00:50:00,14.1,5.0,10.4,279.0,3.3,79.0,
2025-08-12 01:00:00,14.0,7.0,10.5,273.0,3.0,79.0,0.0
2025-08-12 01:10:00,14.1,7.0,10.4,276.0,3.0,79.0,
2025-08-12 01:20:00,13.7,7.0,10.4,276.0,3.0,81.0,
2025-08-12 01:30:00,13.7,3.0,10.1,288.0,2.9,79.0,
2025-08-12 01:40:00,13.6,1.0,10.2,299.0,3.1,80.0,
2025-08-12 01:50:00,13.5,3.0,10.2,304.0,3.0,80.0,
2025-08-12 02:00:00,13.1,1.0,10.3,301.0,3.3,83.0,0.0
2025-08-12 02:10:00,13.2,5.0,10.3,302.0,2.8,82.0,
2025-08-12 02:20:00,13.1,5.0,10.4,287.0,3.0,84.0,
2025-08-12 02:30:00,13.5,7.0,10.2,287.0,3.3,81.0,
2025-08-12 02:40:00,13.5,7.0,10.2,292.0,3.2,81.0,
2025-08-12 02:50:00,13.3,7.0,10.2,292.0,3.1,82.0,
2025-08-12 03:00:00,13.3,7.0,10.2,291.0,3.0,81.0,0.0
2025-08-12 03:10:00,13.2,7.0,10.2,290.0,3.0,82.0,
2025-08-12 03:20:00,13.0,5.0,10.4,292.0,2.9,84.0,
2025-08-12 03:30:00,13.0,7.0,10.4,291.0,3.0,84.0,
2025-08-12 03:40:00,13.0,5.0,10.3,289.0,2.8,84.0,
2025-08-12 03:50:00,12.7,7.0,10.4,289.0,2.7,86.0,
2025-08-12 04:00:00,12.5,5.0,10.3,280.0,2.4,87.0,0.0
2025-08-12 04:10:00,12.4,7.0,10.4,275.0,2.4,88.0,
2025-08-12 04:20:00,12.3,7.0,10.3,269.0,2.4,88.0,
2025-08-12 04:30:00,12.3,5.0,10.2,274.0,2.2,87.0,
2025-08-12 04:40:00,12.2,7.0,10.2,281.0,2.0,88.0,
2025-08-12 04:50:00,12.2,7.0,10.4,276.0,2.5,88.0,
2025-08-12 05:00:00,12.8,7.0,10.2,295.0,2.1,84.0,0.0
2025-08-12 05:10:00,12.6,7.0,10.5,269.0,2.2,87.0,
2025-08-12 05:20:00,12.6,7.0,10.2,260.0,1.5,86.0,
2025-08-12 05:30:00,12.7,7.0,10.2,224.0,1.1,85.0,
2025-08-12 05:40:00,12.9,7.0,10.4,231.0,1.1,85.0,
2025-08-12 05:50:00,13.0,7.0,10.6,245.0,1.2,85.0,
2025-08-12 06:00:00,12.9,7.0,10.7,229.0,1.0,87.0,0.0
2025-08-12 06:10:00,12.9,7.0,10.8,193.0,0.5,87.0,
2025-08-12 06:20:00,13.1,7.0,11.0,128.0,0.5,87.0,
2025-08-12 06:30:00,13.0,7.0,11.1,148.0,0.3,88.0,
2025-08-12 06:40:00,13.2,7.0,11.1,84.0,0.7,87.0,
2025-08-12 06:50:00,13.7,7.0,11.2,90.0,1.1,85.0,
2025-08-12 07:00:00,14.0,7.0,11.1,84.0,1.4,83.0,0.0
2025-08-12 07:10:00,13.4,5.0,11.6,71.0,0.8,89.0,
2025-08-12 07:20:00,13.3,3.0,11.8,87.0,0.7,90.0,
2025-08-12 07:30:00,13.6,5.0,12.0,132.0,0.7,90.0,
2025-08-12 07:40:00,14.4,5.0,11.9,116.0,1.1,85.0,
2025-08-12 07:50:00,15.5,5.0,11.5,103.0,1.0,77.0,
2025-08-12 08:00:00,15.5,5.0,12.5,164.0,1.7,83.0,0.0
2025-08-12 08:10:00,14.5,7.0,12.0,254.0,5.1,85.0,
2025-08-12 08:20:00,12.9,7.0,11.8,254.0,5.8,93.0,
2025-08-12 08:30:00,12.5,7.0,12.0,257.0,4.4,97.0,
2025-08-12 08:40:00,12.3,7.0,11.8,254.0,3.3,97.0,
2025-08-12 08:50:00,12.3,7.0,11.7,243.0,2.1,96.0,
2025-08-12 09:00:00,12.5,7.0,12.0,226.0,1.2,97.0,5.9
2025-08-12 09:10:00,12.7,7.0,12.0,171.0,1.4,96.0,
2025-08-12 09:20:00,13.0,7.0,12.2,148.0,2.1,95.0,
2025-08-12 09:30:00,13.3,7.0,12.7,146.0,3.1,96.0,
2025-08-12 09:40:00,13.3,7.0,12.5,176.0,3.8,95.0,
2025-08-12 09:50:00,13.4,8.0,12.4,167.0,3.8,93.0,
2025-08-12 10:00:00,13.6,8.0,12.1,180.0,3.0,91.0,0.3
2025-08-12 10:10:00,13.8,7.0,12.4,169.0,1.8,91.0,
2025-08-12 10:20:00,14.3,5.0,12.6,156.0,1.6,90.0,
2025-08-12 10:30:00,14.7,5.0,12.9,166.0,1.7,89.0,
2025-08-12 10:40:00,15.0,3.0,12.9,192.0,2.0,87.0,
2025-08-12 10:50:00,15.2,3.0,12.5,194.0,1.7,84.0,
2025-08-12 11:00:00,15.7,3.0,12.4,187.0,2.1,81.0,0.0
2025-08-12 11:10:00,16.6,1.0,12.4,159.0,1.5,76.0,
2025-08-12 11:20:00,17.0,1.0,12.3,175.0,2.3,74.0,
2025-08-12 11:30:00,17.3,0.0,12.7,178.0,2.6,75.0,
2025-08-12 11:40:00,17.7,1.0,13.1,177.0,1.9,74.0,
2025-08-12 11:50:00,17.7,0.0,12.0,162.0,1.8,69.0,
2025-08-12 12:00:00,18.6,0.0,13.7,153.0,2.4,73.0,0.0
2025-08-12 12:10:00,18.6,0.0,13.0,155.0,2.7,70.0,
2025-08-12 12:20:00,18.7,0.0,12.3,158.0,3.1,66.0,
2025-08-12 12:30:00,18.7,0.0,12.6,162.0,3.7,67.0,
2025-08-12 12:40:00,19.1,0.0,13.2,187.0,3.0,68.0,
2025-08-12 12:50:00,18.9,1.0,12.3,173.0,3.3,66.0,
2025-08-12 13:00:00,18.9,1.0,12.3,162.0,2.7,66.0,0.0
2025-08-12 13:10:00,18.8,1.0,12.4,159.0,4.2,66.0,
2025-08-12 13:20:00,19.1,0.0,12.9,169.0,3.9,68.0,
2025-08-12 13:30:00,19.8,0.0,13.4,186.0,3.3,66.0,
2025-08-12 13:40:00,19.1,0.0,12.4,219.0,3.3,65.0,
2025-08-12 13:50:00,19.9,1.0,13.6,225.0,3.2,67.0,
2025-08-12 14:00:00,19.8,0.0,12.5,202.0,3.1,63.0,0.0
2025-08-12 14:10:00,18.7,1.0,13.2,202.0,4.1,70.0,
2025-08-12 14:20:00,17.9,1.0,13.1,230.0,5.2,74.0,
2025-08-12 14:30:00,17.3,5.0,13.5,237.0,4.5,79.0,
2025-08-12 14:40:00,17.1,5.0,14.0,246.0,3.6,82.0,
2025-08-12 14:50:00,16.4,7.0,12.8,289.0,5.0,79.0,
2025-08-12 15:00:00,15.2,7.0,12.0,317.0,4.4,81.0,0.0
2025-08-12 15:10:00,14.6,8.0,12.0,339.0,2.7,85.0,
2025-08-12 15:20:00,14.3,7.0,12.3,332.0,1.3,88.0,
2025-08-12 15:30:00,14.9,7.0,12.9,305.0,1.2,88.0,
2025-08-12 15:40:00,15.2,7.0,13.4,179.0,0.8,89.0,
2025-08-12 15:50:00,15.8,5.0,13.9,162.0,1.1,88.0,
2025-08-12 16:00:00,17.6,1.0,14.2,213.0,2.7,81.0,0.9
2025-08-12 16:10:00,18.4,1.0,14.7,229.0,4.4,79.0,
2025-08-12 16:20:00,18.3,0.0,14.2,249.0,4.7,77.0,
2025-08-12 16:30:00,17.7,1.0,13.9,246.0,4.4,78.0,
2025-08-12 16:40:00,18.0,1.0,14.1,258.0,4.3,78.0,
2025-08-12 16:50:00,18.5,5.0,14.1,275.0,3.4,75.0,
2025-08-12 17:00:00,18.3,3.0,14.2,271.0,4.2,77.0,0.0
2025-08-12 17:10:00,17.6,5.0,13.9,267.0,4.1,79.0,
2025-08-12 17:20:00,17.5,3.0,14.5,270.0,3.0,82.0,
2025-08-12 17:30:00,17.6,3.0,13.4,274.0,3.8,77.0,
2025-08-12 17:40:00,17.8,3.0,13.3,274.0,4.6,75.0,
2025-08-12 17:50:00,18.0,1.0,13.0,278.0,3.8,72.0,
2025-08-12 18:00:00,17.6,3.0,12.8,283.0,3.7,73.0,0.0
2025-08-12 18:10:00,17.9,5.0,13.6,275.0,4.2,76.0,
2025-08-12 18:20:00,19.3,7.0,13.6,280.0,3.3,69.0,
2025-08-12 18:30:00,19.5,7.0,13.0,280.0,3.4,66.0,
2025-08-12 18:40:00,19.1,3.0,13.0,265.0,4.3,68.0,
2025-08-12 18:50:00,18.3,1.0,12.6,272.0,3.9,69.0,
2025-08-12 19:00:00,17.9,1.0,13.0,261.0,4.2,73.0,0.0
2025-08-12 19:10:00,17.6,3.0,13.1,264.0,3.9,75.0,
2025-08-12 19:20:00,17.3,3.0,13.5,259.0,4.0,79.0,
2025-08-12 19:30:00,17.4,1.0,13.2,252.0,2.9,76.0,
2025-08-12 19:40:00,17.7,3.0,13.5,269.0,2.5,77.0,
2025-08-12 19:50:00,17.5,1.0,13.1,261.0,3.5,76.0,
2025-08-12 20:00:00,17.1,1.0,12.8,269.0,2.9,76.0,0.0
2025-08-12 20:10:00,17.3,1.0,12.4,285.0,3.5,73.0,
2025-08-12 20:20:00,16.7,0.0,12.8,278.0,3.5,78.0,
2025-08-12 20:30:00,16.5,0.0,12.7,272.0,3.1,79.0,
2025-08-12 20:40:00,16.2,0.0,12.8,281.0,2.0,80.0,
2025-08-12 20:50:00,16.0,0.0,12.8,288.0,1.6,81.0,
2025-08-12 21:00:00,15.8,0.0,12.8,286.0,2.4,82.0,0.0
2025-08-12 21:10:00,15.4,0.0,12.7,286.0,2.5,84.0,
2025-08-12 21:20:00,15.5,0.0,12.2,285.0,3.0,81.0,
2025-08-12 21:30:00,15.1,0.0,12.4,290.0,2.9,84.0,
2025-08-12 21:40:00,14.6,0.0,12.4,279.0,2.7,87.0,
2025-08-12 21:50:00,14.3,0.0,12.4,274.0,3.0,88.0,
2025-08-12 22:00:00,14.1,0.0,12.4,272.0,2.5,90.0,0.0
2025-08-12 22:10:00,14.0,0.0,12.4,281.0,2.7,90.0,
2025-08-12 22:20:00,14.0,0.0,12.7,289.0,2.9,91.0,
2025-08-12 22:30:00,13.9,0.0,12.6,285.0,3.4,92.0,
2025-08-12 22:40:00,13.8,0.0,12.7,285.0,3.3,93.0,
2025-08-12 22:50:00,13.7,0.0,12.7,286.0,3.5,94.0,
2025-08-12 23:00:00,13.7,0.0,12.8,291.0,3.8,94.0,0.0
2025-08-12 23:10:00,13.7,0.0,12.8,292.0,3.7,95.0,
2025-08-12 23:20:00,13.7,0.0,12.9,294.0,3.9,95.0,
2025-08-12 23:30:00,13.7,0.0,12.8,295.0,4.2,94.0,
2025-08-12 23:40:00,13.9,0.0,12.5,305.0,4.4,91.0,
2025-08-12 23:50:00,13.8,0.0,12.3,310.0,4.3,91.0,
